bank_name,city,item_name,category,quantity,unit,received_date,shelf_life_days,expiration_date,days_left,avg_daily_demand,supply_status
Alameda County Community Food Bank,Oakland,Bananas,produce,294,lbs,2026-03-08,7,2026-03-15,2,81,surplus
Food Bank of Contra Costa and Solano,Concord,Canned chickpeas,canned,213,cans,2026-03-03,730,2028-03-02,720,118,balanced
Yolo Food Bank,Woodland,Canned salmon,canned,204,cans,2026-02-28,730,2028-02-28,717,113,balanced
Alameda County Community Food Bank,Oakland,Oatmeal,dry,88,boxes,2026-02-20,365,2027-02-20,344,35,balanced
Sacramento Food Bank & Family Services,Sacramento,Lettuce,produce,289,heads,2026-02-20,10,2026-03-02,-11,79,surplus
Alameda County Community Food Bank,Oakland,Butter,dairy,399,packs,2026-03-09,60,2026-05-08,56,39,surplus
Second Harvest of Silicon Valley,San Jose,Macaroni,dry,79,boxes,2026-03-03,730,2028-03-02,720,94,shortage
Food Bank of Contra Costa and Solano,Concord,Carrots fresh,produce,163,lbs,2026-02-28,21,2026-03-21,8,71,balanced
Sacramento Food Bank & Family Services,Sacramento,Oatmeal,dry,139,boxes,2026-03-06,365,2027-03-06,358,51,balanced
Second Harvest of Silicon Valley,San Jose,Spinach,produce,260,bags,2026-02-25,7,2026-03-04,-9,20,surplus
Second Harvest Food Bank of Orange County,Irvine,Potatoes,produce,385,lbs,2026-02-18,30,2026-03-20,7,117,surplus
Feeding San Diego,San Diego,Canned black beans,canned,19,cans,2026-02-22,730,2028-02-22,711,111,shortage
Food Bank of Contra Costa and Solano,Concord,Almond butter,dry,176,jars,2026-02-25,365,2027-02-25,349,60,balanced
Second Harvest of Silicon Valley,San Jose,Milk gallons,dairy,218,gallons,2026-02-25,10,2026-03-07,-6,63,surplus
Central California Food Bank,Fresno,Brown rice,dry,183,bags,2026-02-20,365,2027-02-20,344,63,balanced
Alameda County Community Food Bank,Oakland,Canned black beans,canned,374,cans,2026-03-12,730,2028-03-11,729,38,surplus
Yolo Food Bank,Woodland,Almond butter,dry,208,jars,2026-02-26,365,2027-02-26,350,25,surplus
Sacramento Food Bank & Family Services,Sacramento,Yogurt cups,dairy,381,cups,2026-02-28,21,2026-03-21,8,35,surplus
Food Bank of Contra Costa and Solano,Concord,Egg cartons,dairy,248,cartons,2026-03-03,21,2026-03-24,11,79,surplus
Yolo Food Bank,Woodland,Yogurt cups,dairy,175,cups,2026-02-21,21,2026-03-14,1,63,balanced
Second Harvest Food Bank of Orange County,Irvine,Frozen berries,protein,103,bags,2026-02-20,365,2027-02-20,344,108,shortage
Second Harvest Food Bank of Orange County,Irvine,Lentils,dry,165,bags,2026-03-02,730,2028-03-01,719,65,balanced
Sacramento Food Bank & Family Services,Sacramento,Rice 5lb bag,dry,33,bags,2026-02-27,730,2028-02-27,716,52,shortage
Los Angeles Regional Food Bank,Los Angeles,Canned chickpeas,canned,338,cans,2026-03-03,730,2028-03-02,720,80,surplus
Second Harvest of Silicon Valley,San Jose,Flour,dry,54,bags,2026-02-26,365,2027-02-26,350,20,balanced
Sacramento Food Bank & Family Services,Sacramento,Brown rice,dry,356,bags,2026-03-05,365,2027-03-05,357,102,surplus
Second Harvest Food Bank of Orange County,Irvine,Milk gallons,dairy,186,gallons,2026-03-09,10,2026-03-19,6,103,balanced
San Francisco-Marin Food Bank,San Francisco,Milk gallons,dairy,130,gallons,2026-02-19,10,2026-03-01,-12,107,balanced
Feeding San Diego,San Diego,Bananas,produce,318,lbs,2026-03-03,7,2026-03-10,-3,109,balanced
Central California Food Bank,Fresno,Canned carrots,canned,238,cans,2026-03-01,730,2028-02-29,718,69,surplus
Second Harvest of Silicon Valley,San Jose,Avocados,produce,297,units,2026-03-04,7,2026-03-11,-2,93,surplus
Alameda County Community Food Bank,Oakland,Cereal,dry,73,boxes,2026-02-26,180,2026-08-25,165,43,balanced
Yolo Food Bank,Woodland,Chicken breast frozen,protein,253,packs,2026-02-23,180,2026-08-22,162,55,surplus
Sacramento Food Bank & Family Services,Sacramento,Lentils,dry,351,bags,2026-02-16,730,2028-02-16,705,84,surplus
Sacramento Food Bank & Family Services,Sacramento,Apples,produce,186,lbs,2026-02-18,21,2026-03-11,-2,35,surplus
Central California Food Bank,Fresno,Canned tuna,canned,332,cans,2026-02-22,730,2028-02-22,711,60,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned green beans,canned,316,cans,2026-03-11,730,2028-03-10,728,22,surplus
Yolo Food Bank,Woodland,Oranges,produce,352,lbs,2026-02-27,14,2026-03-13,0,34,surplus
Yolo Food Bank,Woodland,Broccoli,produce,63,lbs,2026-03-06,7,2026-03-13,0,119,shortage
Food Bank of Contra Costa and Solano,Concord,Oranges,produce,380,lbs,2026-03-03,14,2026-03-17,4,106,surplus
Yolo Food Bank,Woodland,Frozen berries,protein,97,bags,2026-02-20,365,2027-02-20,344,54,balanced
Alameda County Community Food Bank,Oakland,Canned tomatoes,canned,377,cans,2026-02-16,730,2028-02-16,705,104,surplus
Sacramento Food Bank & Family Services,Sacramento,Yogurt cups,dairy,52,cups,2026-03-11,21,2026-04-01,19,116,shortage
Los Angeles Regional Food Bank,Los Angeles,Apples,produce,185,lbs,2026-03-06,21,2026-03-27,14,77,balanced
Alameda County Community Food Bank,Oakland,Canned green beans,canned,250,cans,2026-03-13,730,2028-03-12,730,119,balanced
Food Bank of Contra Costa and Solano,Concord,Tomatoes,produce,177,lbs,2026-02-16,10,2026-02-26,-15,68,balanced
Feeding San Diego,San Diego,Carrots fresh,produce,176,lbs,2026-03-12,21,2026-04-02,20,61,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned salmon,canned,107,cans,2026-03-06,730,2028-03-05,723,51,balanced
San Francisco-Marin Food Bank,San Francisco,Sugar,dry,32,bags,2026-02-20,730,2028-02-20,709,112,shortage
Yolo Food Bank,Woodland,Bananas,produce,351,lbs,2026-02-17,7,2026-02-24,-17,110,surplus
Second Harvest Food Bank of Orange County,Irvine,Apples,produce,140,lbs,2026-03-11,21,2026-04-01,19,55,balanced
Second Harvest of Silicon Valley,San Jose,Broccoli,produce,77,lbs,2026-02-21,7,2026-02-28,-13,35,balanced
Sacramento Food Bank & Family Services,Sacramento,Broccoli,produce,313,lbs,2026-02-28,7,2026-03-07,-6,51,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned peas,canned,191,cans,2026-03-02,730,2028-03-01,719,27,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned chickpeas,canned,276,cans,2026-03-13,730,2028-03-12,730,52,surplus
Yolo Food Bank,Woodland,Cheese blocks,dairy,12,blocks,2026-03-09,30,2026-04-08,26,73,shortage
Second Harvest Food Bank of Orange County,Irvine,Canned peas,canned,94,cans,2026-03-11,730,2028-03-10,728,115,shortage
Second Harvest Food Bank of Orange County,Irvine,Chicken breast frozen,protein,107,packs,2026-02-21,180,2026-08-20,160,40,balanced
Second Harvest Food Bank of Orange County,Irvine,Carrots fresh,produce,44,lbs,2026-03-04,21,2026-03-25,12,99,shortage
Food Bank of Contra Costa and Solano,Concord,Macaroni,dry,350,boxes,2026-03-01,730,2028-02-29,718,87,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned peas,canned,310,cans,2026-03-03,730,2028-03-02,720,54,surplus
Alameda County Community Food Bank,Oakland,Canned corn,canned,196,cans,2026-03-02,730,2028-03-01,719,29,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned beans,canned,305,cans,2026-02-17,730,2028-02-17,706,59,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned green beans,canned,324,cans,2026-03-05,730,2028-03-04,722,28,surplus
